Water supply or Sanitation,High level indicators,Description/Calculation,Frequency,Granularity
Both,Revenue collection efficiency,(Revenue collected ( in unit currency) ÷ total revenue billed ( in unit currency)) x 100 ,Monthly,City
Both,Operating cost coverage,(Operating expenses (in unit currency) ÷ revenue (in unit currency)) x 100,Monthly,City
Both,Staff efficiency,Staff per 1000 connections,Monthly,City
Both,Pro-poor financing,% population served by tariff systems supporting the poor ie (population served by tariff system support  ÷ total population served) x 100,Monthly,City
Both,Utility budget variance,"1) Allocated – actual expenditure :- (for absolute numbers)
2) (actual expense)  ÷ Allocated expense x100  :- (for percent of total allocated values)",Annual,City
Water Supply,% Metered connections,(Total active metered connections ÷ total active connections) x 100,Monthly,Zone
Water Supply,% Utilisation of water treatment facilities,(Utilised WTP treatment capacity (cumulative for a city or utility) ÷ total WTP operational design capacity ( in the city or utility),Monthly,City
Sanitation,% Utilisation of wastewater/sewage treatment facilities  ,(Utilised STP treatment capacity (cumulative for a city or utility) ÷ total STP operational design capacity ( in the city or utility),Monthly,City
Sanitation,% Utilisation of faecal sludge treatment facilities  ,(Utilised FSTP treatment capacity (cumulative for a city or utility) ÷ total FSTP operational design capacity ( in the city or utility),Monthly,City
Water Supply,% National budget allocated to water,(budget allocated to water ( in unit currency) ÷ total budget (in unit currency)) x 100,Annual,City
Sanitation,% National budget allocated to sanitation, budget allocated to sanitation (in unit currency) ÷  total budget (in unit currency) x 100,Annual,City
Both,% of national budget disbursed to WASH,(budget disbursed to WASH  ÷ total budget allocated ) x 100,Annual,City
Both,% Staff cost,HR cost (slaries etc) ÷ total operational expenses,Annual,City
Water Supply,Level of water stress,Water withdrawals (volume) ÷ renewable resources (volume),Annual,City
Both,Water use efficiency across sectors,"Output per unit water (this need to be calculated for few flagship sectors like agriculature, manufacturing etc e.g.
1) Agri= Total value of agricultural output (in the currency) ÷ VOlumne of water used for irrigation ( pref in cubic meter)
2) Manufacturing = Total value of manufacturing output (in the currency) ÷ Volumne of industrial water consumption ( pref in cubic meter)",Annual,City
Both,Direct economic loss from water-related disasters,"Monetary loss due to floods, droughts, pollution",Annual,City
Both,Asset health index,Total assets in good condition  ÷ Total assets ,Annual,City
Both,% Active Service Providers,Total service providers actively providing service ÷  total service providers irrespective of  licensed/registered and whether providing services or not) x 100 ,Annual,City
Water Supply,Total Registered WTPs inspected and recertified,Count of inspected water treatment plants,Annual,City
Both,% Active licensed Service Providers,Total licensed and active service providers ÷ total licensed service providers)× 100,Annual,City
Both,Complaints turnaround time,Average time to resolve complaints,Annual,City
Both,% Investment in human capital,(Budget for WASH staff capacity building ÷  total WASH budget ) x100 ,Annual,City
Both,Staff trained (M/F),Count by gender,Annual,City
Both,Total staff numbers,Count,Annual,City
